Date,Job,Location,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"May 2, 2017",Ford College Graduate Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I applied through college or university. I interviewed at Ford Motor Company.,Talk to recruiter on campus and got an interview offer the following week. But it was unprofessional to have there laptops out while I was answering interview questions. I felt as though I was just being moved along and that my answers really didnt matter. Guess that is a result of how many people they see/ have to screen through.,What are your three strengths and weaknesses Â  1 Answer
"May 1, 2017",Engineer Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. I interviewed at Ford Motor Company (Dearborn, MI) in June 2015.",Quick and Painless. Truly learned what my future position would by like by asking questions to my interviewers. They were very straight forward with me which I appreciated very much.,Tell us about a time when... Ten varying questions. Have ten significant experiences with life lessons ready. Â  1 Answer
"May 1, 2017",Quantitative Researcher Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I applied through an employee referral. I interviewed at Ford Motor Company in February 2017.,"First round: Resume based Technical questions
Second round: Presentation of projects to the team via skype interview with the whole team
Â Describe the projects based on statistical analysis and predictive modelling",Have you worked with large messy data sets Â  Answer Question
"Apr 30, 2017",Data Science Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Ford Motor Company.,It was mostly to be behavior questions and there were three interviewers. The interview last for 30 minutes and they basically asked about questions regarding your experience and resume.,"If you have a different opinion from your boss, what will you do? Â  Answer Question"
"Apr 28, 2017",Product Development Engineer Interview,"Anonymous Interview Candidate in Allen Park, MI",No Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Ford Motor Company (Allen Park, MI) in April 2017.","(For some jobs, the easiest way to apply is either through an employee referral or a staffing agency like Jacobs, Aerotek, ...etc)
* Applied online (Employee referral), got an email to do an assessment test (Numerical + Verbal) reasoning. (You need to practice, and be ready for this exam because it's timed exam, and if you failed you have to wait another year)
* Got an email to schedule a 30-mins phone screening, was pretty simple to confirm information and few behavioral questions. (why should we hire you?), (tell me about a time when you were troubleshooting something).
* Got another call for 60-90 mins on-site interview, and they offered a tour on campus. Went there and they were very nice people, they did a 30 mins presentation about the company, and then were taken to a 3:1 interview. Interviewers were very friendly and easy going. Most of the questions were behavioral questions (STAR format -- Tell me about a time.....)
Overall it was a very nice experience.",Tell me about a time you took a risk? Â  Answer Question
"Apr 25, 2017",Production Supervisor Interview,"Anonymous Employee in Louisville, KY",Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. I interviewed at Ford Motor Company (Louisville, KY) in March 2016.","The interview took about an hour and a half. It was scenario based, with multiple questions being asked at once. You are graded on not only your answers to each, but your ability to answer in sequence and in a timely fashion. Approximately 8 to 10 questions were asked.","Has there ever been a situation in which you were heavily involved in a project, but had to drop that task in order to take on a more pressing project. Â  1 Answer"
"Apr 25, 2017",STA Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Neutral Experience,Average Interview,"I applied through a recruiter. I interviewed at Ford Motor Company (Dearborn, MI) in February 2013.",the process is pretty fast if you are applying for contract position and you get the interview call very fast and the result will also be quick. liked the process very best for contract jobs,i would say be technical and STAR Â  1 Answer
"Apr 20, 2017",Electrical Engineer Interview,Anonymous Interview Candidate in Chennai (India),No Offer,Negative Experience,Average Interview,I applied through college or university. The process took 1 day. I interviewed at Ford Motor Company (Chennai (India)) in May 2016.,"total 3 rounds
1.online test- both aptitude and technical
2.group discussion - basically they will give 2 topics .among them each group has to select one topic .each person will get one minute time to speak. be confident on what you speak
3.interview- more pleasant one . it is not at all stress interview .they will ask about ur past projects and if u have any experience highlight to their sight.",basically it is more of hr type Â  Answer Question
"Apr 19, 2017",Graduate Role Interview,Anonymous Employee,Accepted Offer,Positive Experience,Difficult Interview,I applied online. The process took 4 weeks. I interviewed at Ford Motor Company in May 2015.,"interview process was quite rigorous, included application followed by testing, phone interviews, assessments centre that included role play, group exercise, written task and face to face interview. Overall, make sure you are well up to date on the industry, how ford began and what it aims to do in the future.",what are the future challenges facing the automotive industry Â  1 Answer
"Apr 18, 2017",IT Placement Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,The process took 4+ weeks. I interviewed at Ford Motor Company.,"I applied to a placement in essex, UK. The process took around 1 month.

The process was:
Online application

Inductive reasoning test

Numerical reasoning test

20 min phone interview

At the moment im waiting to do the assesment centre.",Why did you apply to this specific role? Â  Answer Question
"Apr 12, 2017",Assembly Line Worker Interview,"Anonymous Employee in Kansas City, MO",Accepted Offer,Neutral Experience,Easy Interview,"I applied through an employee referral. The process took 4+ months. I interviewed at Ford Motor Company (Kansas City, MO) in June 2014.","Was refered to take a test and that was the extent of the interview process. The test was an all day event and it was a 4 section test, testing muscle memory as well as cognitive ability to match puzzle pieces.",They only asked if I could make it and stay for the test. Â  1 Answer
"Apr 11, 2017",Process Coach Interview,"Anonymous Employee in Wayne, MI",Accepted Offer,Negative Experience,Difficult Interview,"I applied through an employee referral. I interviewed at Ford Motor Company (Wayne, MI).","4 month process that had different managers and human resource professionals. It was very intimate and I felt comfortable. I was prepared so I was relaxed, it took entirely too long though.",What is your area of opportunity with your management style? Â  1 Answer
